date,time,N,itermax,tolerance,algorithm,omp_max_threads,cli_threads,omp_dynamic,threads_used,wall_total_s,solver_total_s,solver_update_s,iters_done,diffmax_final
2026-01-14,19:36:18,50,5000, 1.00000E-05,jacobi,2,2,0,2, 6.1800003051757812E-01, 6.1700010299682617E-01, 5.2199864387512207E-01,0, 9.9859163071869261E-06
2026-01-14,19:57:33,50,5000, 1.00000E-05,jacobi,2,2,0,2, 6.0800004005432129E-01, 6.0500001907348633E-01, 5.1000118255615234E-01,0, 9.9859163071869261E-06
2026-01-14,19:57:57,50,5000, 1.00000E-05,jacobi,2,2,0,2, 6.2199997901916504E-01, 6.2100005149841309E-01, 5.2399945259094238E-01,0, 9.9859163071869261E-06
2026-01-15,11:04:28,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.3029999732971191E+00, 1.3009998798370361E+00, 7.1599721908569336E-01,0, 9.9859163071869261E-06
2026-01-15,11:05:59,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.1419999599456787E+00, 1.1399998664855957E+00, 6.1599898338317871E-01,0, 9.9859163071869261E-06
2026-01-15,11:06:02,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.1879999637603760E+00, 1.1859998703002930E+00, 6.2400341033935547E-01,0, 9.9859163071869261E-06
2026-01-15,11:49:05,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.1570000648498535E+00, 1.1539998054504395E+00, 6.0099887847900391E-01,0, 9.9859163071869261E-06
2026-01-15,11:49:09,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.1830000877380371E+00, 1.1800000667572021E+00, 6.2199687957763672E-01,0, 9.9859163071869261E-06
2026-01-15,11:59:36,50,5000, 1.00000E-05,jacobi,12,-1,0,12, 1.2540001869201660E+00, 1.2520000934600830E+00, 6.7600035667419434E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:35,50,5000, 1.00000E-05,jacobi,2,2,0,2, 5.7699990272521973E-01, 5.7599997520446777E-01, 4.8799943923950195E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:42,50,5000, 1.00000E-05,jacobi,12,12,0,12, 1.1899998188018799E+00, 1.1870000362396240E+00, 6.2800049781799316E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:45,50,5000, 1.00000E-05,jacobi,4,4,0,4, 6.5900015830993652E-01, 6.5700006484985352E-01, 4.5999956130981445E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:50,50,5000, 1.00000E-05,jacobi,3,3,0,3, 5.5900001525878906E-01, 5.5799984931945801E-01, 4.2000007629394531E-01,0, 9.9859163071869261E-06
2026-01-15,12:10:56,50,5000, 1.00000E-05,jacobi,1,1,0,1, 7.5800013542175293E-01, 7.5700020790100098E-01, 7.5300002098083496E-01,0, 9.9859163071869261E-06
2026-01-15,12:11:12,50,5000, 1.00000E-05,jacobi,8,8,0,8, 9.4299983978271484E-01, 9.4099998474121094E-01, 5.8400273323059082E-01,0, 9.9859163071869261E-06
2026-01-15,21:49:59,50,5000, 1.00000E-05,gauss_seidel,12,-1,0,-1, 1.1525999999046326E+02, 1.1525800013542175E+02,-1.0000000000000000E+00,0, 2.2149038159113843E-10
2026-01-15,22:25:29,50,5000, 1.00000E-05,gauss_seidel,2,2,0,-1, 6.5861000061035156E+01, 6.5860000133514404E+01,-1.0000000000000000E+00,0, 2.2149038159113843E-10
2026-01-15,23:25:09,50,5000, 1.00000E-05,gauss_seidel,12,-1,0,-1, 2.2620000839233398E+00, 2.2610001564025879E+00,-1.0000000000000000E+00,0, 2.1497470470421831E-10
2026-01-15,23:25:24,50,5000, 1.00000E-05,gauss_seidel,2,2,0,-1, 8.9800000190734863E-01, 8.9699983596801758E-01,-1.0000000000000000E+00,0, 2.1497470470421831E-10
2026-01-15,23:25:28,50,5000, 1.00000E-05,gauss_seidel,4,4,0,-1, 1.0759999752044678E+00, 1.0750000476837158E+00,-1.0000000000000000E+00,0, 2.1497470470421831E-10
2026-01-15,23:25:33,50,5000, 1.00000E-05,gauss_seidel,6,6,0,-1, 1.2740001678466797E+00, 1.2730000019073486E+00,-1.0000000000000000E+00,0, 2.1497470470421831E-10
2026-01-15,23:25:38,50,5000, 1.00000E-05,gauss_seidel,8,8,0,-1, 1.5110001564025879E+00, 1.5099999904632568E+00,-1.0000000000000000E+00,0, 2.1497470470421831E-10
2026-01-16,10:00:36,50,5000, 1.00000E-05,gauss_seidel,2,2,0,-1, 5.7699990272521973E-01, 5.7599997520446777E-01,-1.0000000000000000E+00,0,-1.0000000000000000E+00
2026-01-16,10:01:25,100,5000, 1.00000E-05,gauss_seidel,2,2,0,-1, 4.3139998912811279E+00, 4.3120000362396240E+00,-1.0000000000000000E+00,0,-1.0000000000000000E+00
2026-01-19,13:37:32,100,5000, 1.00000E-05,jacobi,1,1,0,1, 1.9112337234895676E+01, 1.9097311714198440E+01, 1.9087635328527540E+01,0, 4.3908869434972075E-04
2026-01-19,13:37:42,100,5000, 1.00000E-05,jacobi,2,2,0,2, 9.6306504099629819E+00, 9.6201070779934525E+00, 9.6065772222355008E+00,0, 4.3908869434972075E-04
